episode_index,step_in_episode,prob_action_0,prob_action_1,prob_action_2
0,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
0,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
0,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
1,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
1,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
1,2,0.33329159021377563,0.332535982131958,0.33417245745658875
2,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
2,1,0.33338189125061035,0.3326095938682556,0.33400845527648926
2,2,0.33333542943000793,0.3326171338558197,0.33404743671417236
3,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
3,1,0.33338189125061035,0.3326095938682556,0.33400845527648926
3,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
4,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
4,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
4,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
5,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
5,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
5,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
6,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
6,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
6,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
7,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
7,1,0.33335191011428833,0.33280524611473083,0.33384281396865845
7,2,0.33324840664863586,0.3326842784881592,0.3340672552585602
8,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
8,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
8,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
9,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
9,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
9,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
10,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
10,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
10,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
11,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
11,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
11,2,0.33329159021377563,0.332535982131958,0.33417245745658875
12,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
12,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
12,2,0.33333542943000793,0.3326171338558197,0.33404743671417236
13,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
13,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
13,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
14,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
14,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
14,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
15,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
15,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
15,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
16,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
16,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
16,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
17,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
17,1,0.33335191011428833,0.33280524611473083,0.33384281396865845
17,2,0.33324840664863586,0.3326842784881592,0.3340672552585602
18,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
18,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
18,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
19,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
19,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
19,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
20,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
20,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
20,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
21,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
21,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
21,2,0.33329159021377563,0.332535982131958,0.33417245745658875
22,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
22,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
22,2,0.33333542943000793,0.3326171338558197,0.33404743671417236
23,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
23,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
23,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
24,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
24,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
24,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
25,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
25,1,0.33338189125061035,0.3326095938682556,0.33400845527648926
25,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
26,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
26,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
26,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
27,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
27,1,0.33335191011428833,0.33280524611473083,0.33384281396865845
27,2,0.33324840664863586,0.3326842784881592,0.3340672552585602
28,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
28,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
28,2,0.3332517445087433,0.3327161371707916,0.3340321183204651
29,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
29,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
29,2,0.3333490788936615,0.3328459858894348,0.3338049352169037
30,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
30,1,0.33338189125061035,0.3326095640659332,0.33400845527648926
30,2,0.3334046006202698,0.3327520787715912,0.33384332060813904
31,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
31,1,0.3334415555000305,0.3329586386680603,0.33359983563423157
31,2,0.33329159021377563,0.332535982131958,0.33417245745658875
32,0,0.3334318697452545,0.33322256803512573,0.33334556221961975
