episode_index,step_in_episode,action_0_prob,action_1_prob,action_2_prob,action_3_prob,action_4_prob,action_5_prob
0,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
0,1,0.16684259474277496,0.16669026017189026,0.16667145490646362,0.16648735105991364,0.16671325266361237,0.16659508645534515
0,2,0.16686339676380157,0.16669195890426636,0.16668017208576202,0.16646091639995575,0.1667214334011078,0.1665821522474289
0,3,0.16687560081481934,0.1666928380727768,0.16668637096881866,0.16644342243671417,0.16672609746456146,0.16657565534114838
0,4,0.16688266396522522,0.16669334471225739,0.1666904240846634,0.16643202304840088,0.16672873497009277,0.16657282412052155
0,5,0.16688668727874756,0.16669364273548126,0.16669292747974396,0.1664246767759323,0.16673023998737335,0.16657181084156036
0,6,0.16688895225524902,0.1666938215494156,0.16669437289237976,0.16642002761363983,0.16673119366168976,0.16657161712646484
0,7,0.16550634801387787,0.16645419597625732,0.166348397731781,0.1677112579345703,0.16760846972465515,0.16637130081653595
0,8,0.1652955412864685,0.16637679934501648,0.1664888560771942,0.16782769560813904,0.16763322055339813,0.16637787222862244
0,9,0.16519306600093842,0.16632190346717834,0.1665681153535843,0.16787780821323395,0.16765856742858887,0.16638056933879852
1,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
1,1,0.16545480489730835,0.16644562780857086,0.1663527935743332,0.16777341067790985,0.1675853580236435,0.16638803482055664
1,2,0.16526839137077332,0.16636842489242554,0.16649727523326874,0.16785842180252075,0.16761544346809387,0.16639204323291779
1,3,0.1651790291070938,0.16631440818309784,0.16657507419586182,0.16789516806602478,0.16764284670352936,0.16639350354671478
1,4,0.1651272475719452,0.16623763740062714,0.1666189432144165,0.16793891787528992,0.16767823696136475,0.16639898717403412
1,5,0.1650971621274948,0.1662120223045349,0.16664089262485504,0.167944997549057,0.16770632565021515,0.16639864444732666
1,6,0.1650768667459488,0.16619537770748138,0.16665297746658325,0.16794469952583313,0.16773250699043274,0.16639752686023712
1,7,0.1652282476425171,0.16626498103141785,0.16711995005607605,0.16769622266292572,0.1676696091890335,0.16602098941802979
1,8,0.16544251143932343,0.1663297861814499,0.1670069396495819,0.16758553683757782,0.16771399974822998,0.16592127084732056
1,9,0.16554422676563263,0.16635467112064362,0.16696663200855255,0.16751636564731598,0.16773684322834015,0.16588132083415985
2,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
2,1,0.1667148619890213,0.16684651374816895,0.1673898845911026,0.16629090905189514,0.16640020906925201,0.16635766625404358
3,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
3,1,0.1669221669435501,0.16650761663913727,0.16665008664131165,0.16648924350738525,0.1667153537273407,0.1667155623435974
3,2,0.16694584488868713,0.16647940874099731,0.16665983200073242,0.16647091507911682,0.16671420633792877,0.16672980785369873
3,3,0.16695551574230194,0.1664661467075348,0.16666938364505768,0.16646043956279755,0.16671103239059448,0.1667374223470688
3,4,0.1669590026140213,0.16646015644073486,0.16667677462100983,0.1664545089006424,0.16670817136764526,0.16674132645130157
3,5,0.16695982217788696,0.16645760834217072,0.16668187081813812,0.16645123064517975,0.16670618951320648,0.1667432337999344
3,6,0.16695958375930786,0.16645655035972595,0.1666850745677948,0.16644954681396484,0.16670502722263336,0.1667441576719284
3,7,0.1669590026140213,0.1664561778306961,0.1666869819164276,0.16644877195358276,0.1667044758796692,0.16674460470676422
3,8,0.16552992165088654,0.1663406789302826,0.16640138626098633,0.16768747568130493,0.16767898201942444,0.16636161506175995
3,9,0.16530553996562958,0.16628751158714294,0.1665237694978714,0.16780847311019897,0.16771268844604492,0.1663619875907898
4,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
4,1,0.16684259474277496,0.16669026017189026,0.16667145490646362,0.16648735105991364,0.16671325266361237,0.16659508645534515
4,2,0.16694281995296478,0.1665109246969223,0.16665901243686676,0.16646116971969604,0.16672424972057343,0.16670185327529907
4,3,0.16695807874202728,0.16648121178150177,0.16666631400585175,0.1664520800113678,0.16671939194202423,0.16672290861606598
4,4,0.16696272790431976,0.1664671152830124,0.16667382419109344,0.1664479821920395,0.16671399772167206,0.16673439741134644
4,5,0.1667015105485916,0.1668272167444229,0.16737744212150574,0.16628605127334595,0.16642826795578003,0.16637957096099854
4,6,0.166604682803154,0.16689905524253845,0.16747918725013733,0.16625894606113434,0.16637557744979858,0.16638249158859253
4,7,0.16620901226997375,0.16637112200260162,0.1672237515449524,0.16677916049957275,0.16754989326000214,0.16586709022521973
4,8,0.1663421392440796,0.1664559543132782,0.16833607852458954,0.16615132987499237,0.16683334112167358,0.16588112711906433
4,9,0.16634373366832733,0.16640079021453857,0.1683972179889679,0.16613219678401947,0.1668904423713684,0.16583561897277832
5,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
5,1,0.16684259474277496,0.16669026017189026,0.16667145490646362,0.16648735105991364,0.16671325266361237,0.16659508645534515
5,2,0.16694281995296478,0.1665109246969223,0.16665901243686676,0.16646116971969604,0.16672424972057343,0.16670185327529907
5,3,0.16695807874202728,0.16648121178150177,0.16666631400585175,0.1664520800113678,0.16671939194202423,0.16672290861606598
5,4,0.16696272790431976,0.1664671152830124,0.16667382419109344,0.1664479821920395,0.16671399772167206,0.16673439741134644
5,5,0.16696323454380035,0.16646066308021545,0.16667969524860382,0.16644638776779175,0.16670987010002136,0.16674022376537323
5,6,0.16669896245002747,0.16682793200016022,0.16737790405750275,0.16628281772136688,0.16643063724040985,0.1663818508386612
5,7,0.16619440913200378,0.1663093864917755,0.16714105010032654,0.16697438061237335,0.16751828789710999,0.16586250066757202
5,8,0.16609463095664978,0.1662548929452896,0.1672137975692749,0.16700108349323273,0.16763660311698914,0.16579893231391907
5,9,0.16605478525161743,0.1662217378616333,0.16724465787410736,0.16700749099254608,0.16769813001155853,0.16577324271202087
6,0,0.16675199568271637,0.16668039560317993,0.16665321588516235,0.16658452153205872,0.16668103635311127,0.16664882004261017
6,1,0.16684259474277496,0.16669026017189026,0.16667145490646362,0.16648735105991364,0.16671325266361237,0.16659508645534515
